,image,mask
18273,images7\15808.png,labels7\15808.png
20458,images8\17993.png,labels8\17993.png
9969,images4\07504.png,labels4\07504.png
22221,images8\19756.png,labels8\19756.png
13141,images5\10676.png,labels5\10676.png
3327,images10\23328.png,labels10\23328.png
5889,images2\03424.png,labels2\03424.png
19254,images7\16789.png,labels7\16789.png
13746,images5\11281.png,labels5\11281.png
20490,images8\18025.png,labels8\18025.png
15941,images6\13476.png,labels6\13476.png
9631,images3\07166.png,labels3\07166.png
14942,images5\12477.png,labels5\12477.png
13489,images5\11024.png,labels5\11024.png
21621,images8\19156.png,labels8\19156.png
21499,images8\19034.png,labels8\19034.png
9885,images3\07420.png,labels3\07420.png
5636,images2\03171.png,labels2\03171.png
1942,images1\01943.png,labels1\01943.png
3252,images10\23253.png,labels10\23253.png
21473,images8\19008.png,labels8\19008.png
6794,images2\04329.png,labels2\04329.png
7606,images3\05141.png,labels3\05141.png
16980,images6\14515.png,labels6\14515.png
10517,images4\08052.png,labels4\08052.png
14740,images5\12275.png,labels5\12275.png
21772,images8\19307.png,labels8\19307.png
8932,images3\06467.png,labels3\06467.png
8450,images3\05985.png,labels3\05985.png
6398,images2\03933.png,labels2\03933.png
2795,images10\22796.png,labels10\22796.png
24828,images9\22363.png,labels9\22363.png
15755,images6\13290.png,labels6\13290.png
4578,images10\24579.png,labels10\24579.png
1073,images1\01074.png,labels1\01074.png
8826,images3\06361.png,labels3\06361.png
2152,images1\02153.png,labels1\02153.png
18462,images7\15997.png,labels7\15997.png
13570,images5\11105.png,labels5\11105.png
18232,images7\15767.png,labels7\15767.png
667,images1\00668.png,labels1\00668.png
17061,images6\14596.png,labels6\14596.png
7935,images3\05470.png,labels3\05470.png
21007,images8\18542.png,labels8\18542.png
6213,images2\03748.png,labels2\03748.png
10063,images4\07598.png,labels4\07598.png
10382,images4\07917.png,labels4\07917.png
2670,images10\22671.png,labels10\22671.png
8762,images3\06297.png,labels3\06297.png
16091,images6\13626.png,labels6\13626.png
22534,images9\20069.png,labels9\20069.png
5644,images2\03179.png,labels2\03179.png
2312,images1\02313.png,labels1\02313.png
8640,images3\06175.png,labels3\06175.png
2895,images10\22896.png,labels10\22896.png
19118,images7\16653.png,labels7\16653.png
12969,images5\10504.png,labels5\10504.png
11009,images4\08544.png,labels4\08544.png
3877,images10\23878.png,labels10\23878.png
15615,images6\13150.png,labels6\13150.png
15123,images6\12658.png,labels6\12658.png
21934,images8\19469.png,labels8\19469.png
14956,images5\12491.png,labels5\12491.png
21159,images8\18694.png,labels8\18694.png
6143,images2\03678.png,labels2\03678.png
7809,images3\05344.png,labels3\05344.png
15694,images6\13229.png,labels6\13229.png
12673,images5\10208.png,labels5\10208.png
23965,images9\21500.png,labels9\21500.png
10656,images4\08191.png,labels4\08191.png
18998,images7\16533.png,labels7\16533.png
19792,images7\17327.png,labels7\17327.png
1768,images1\01769.png,labels1\01769.png
13169,images5\10704.png,labels5\10704.png
22247,images8\19782.png,labels8\19782.png
6133,images2\03668.png,labels2\03668.png
13436,images5\10971.png,labels5\10971.png
2880,images10\22881.png,labels10\22881.png
6038,images2\03573.png,labels2\03573.png
1808,images1\01809.png,labels1\01809.png
22558,images9\20093.png,labels9\20093.png
5240,images2\02775.png,labels2\02775.png
1486,images1\01487.png,labels1\01487.png
22503,images9\20038.png,labels9\20038.png
2868,images10\22869.png,labels10\22869.png
23073,images9\20608.png,labels9\20608.png
2534,images10\22535.png,labels10\22535.png
9338,images3\06873.png,labels3\06873.png
18065,images7\15600.png,labels7\15600.png
15866,images6\13401.png,labels6\13401.png
20408,images8\17943.png,labels8\17943.png
4907,images10\24908.png,labels10\24908.png
14097,images5\11632.png,labels5\11632.png
7696,images3\05231.png,labels3\05231.png
10620,images4\08155.png,labels4\08155.png
23857,images9\21392.png,labels9\21392.png
8516,images3\06051.png,labels3\06051.png
7434,images2\04969.png,labels2\04969.png
20365,images8\17900.png,labels8\17900.png
13819,images5\11354.png,labels5\11354.png
4996,images2\02531.png,labels2\02531.png
14554,images5\12089.png,labels5\12089.png
15920,images6\13455.png,labels6\13455.png
23685,images9\21220.png,labels9\21220.png
8391,images3\05926.png,labels3\05926.png
11954,images4\09489.png,labels4\09489.png
6006,images2\03541.png,labels2\03541.png
13808,images5\11343.png,labels5\11343.png
151,images1\00152.png,labels1\00152.png
22495,images9\20030.png,labels9\20030.png
23080,images9\20615.png,labels9\20615.png
1096,images1\01097.png,labels1\01097.png
9606,images3\07141.png,labels3\07141.png
18597,images7\16132.png,labels7\16132.png
16423,images6\13958.png,labels6\13958.png
16380,images6\13915.png,labels6\13915.png
1959,images1\01960.png,labels1\01960.png
12457,images4\09992.png,labels4\09992.png
2138,images1\02139.png,labels1\02139.png
8309,images3\05844.png,labels3\05844.png
3462,images10\23463.png,labels10\23463.png
21661,images8\19196.png,labels8\19196.png
14095,images5\11630.png,labels5\11630.png
8995,images3\06530.png,labels3\06530.png
10624,images4\08159.png,labels4\08159.png
8733,images3\06268.png,labels3\06268.png
13706,images5\11241.png,labels5\11241.png
15696,images6\13231.png,labels6\13231.png
11503,images4\09038.png,labels4\09038.png
12041,images4\09576.png,labels4\09576.png
12555,images5\10090.png,labels5\10090.png
2852,images10\22853.png,labels10\22853.png
19258,images7\16793.png,labels7\16793.png
22275,images8\19810.png,labels8\19810.png
15102,images6\12637.png,labels6\12637.png
17981,images7\15516.png,labels7\15516.png
10407,images4\07942.png,labels4\07942.png
19703,images7\17238.png,labels7\17238.png
12781,images5\10316.png,labels5\10316.png
19268,images7\16803.png,labels7\16803.png
2097,images1\02098.png,labels1\02098.png
6814,images2\04349.png,labels2\04349.png
17081,images6\14616.png,labels6\14616.png
18695,images7\16230.png,labels7\16230.png
3629,images10\23630.png,labels10\23630.png
12752,images5\10287.png,labels5\10287.png
23395,images9\20930.png,labels9\20930.png
7963,images3\05498.png,labels3\05498.png
10672,images4\08207.png,labels4\08207.png
24136,images9\21671.png,labels9\21671.png
2553,images10\22554.png,labels10\22554.png
5475,images2\03010.png,labels2\03010.png
14366,images5\11901.png,labels5\11901.png
23486,images9\21021.png,labels9\21021.png
11823,images4\09358.png,labels4\09358.png
24517,images9\22052.png,labels9\22052.png
5033,images2\02568.png,labels2\02568.png
6113,images2\03648.png,labels2\03648.png
16385,images6\13920.png,labels6\13920.png
18066,images7\15601.png,labels7\15601.png
8902,images3\06437.png,labels3\06437.png
10534,images4\08069.png,labels4\08069.png
12286,images4\09821.png,labels4\09821.png
7350,images2\04885.png,labels2\04885.png
149,images1\00150.png,labels1\00150.png
202,images1\00203.png,labels1\00203.png
15998,images6\13533.png,labels6\13533.png
21806,images8\19341.png,labels8\19341.png
6060,images2\03595.png,labels2\03595.png
14523,images5\12058.png,labels5\12058.png
18579,images7\16114.png,labels7\16114.png
19839,images7\17374.png,labels7\17374.png
3664,images10\23665.png,labels10\23665.png
255,images1\00256.png,labels1\00256.png
11741,images4\09276.png,labels4\09276.png
6895,images2\04430.png,labels2\04430.png
2568,images10\22569.png,labels10\22569.png
3189,images10\23190.png,labels10\23190.png
15362,images6\12897.png,labels6\12897.png
8979,images3\06514.png,labels3\06514.png
5405,images2\02940.png,labels2\02940.png
12631,images5\10166.png,labels5\10166.png
9287,images3\06822.png,labels3\06822.png
23017,images9\20552.png,labels9\20552.png
20475,images8\18010.png,labels8\18010.png
19038,images7\16573.png,labels7\16573.png
14693,images5\12228.png,labels5\12228.png
20675,images8\18210.png,labels8\18210.png
13023,images5\10558.png,labels5\10558.png
3809,images10\23810.png,labels10\23810.png
21093,images8\18628.png,labels8\18628.png
10637,images4\08172.png,labels4\08172.png
9732,images3\07267.png,labels3\07267.png
4570,images10\24571.png,labels10\24571.png
23836,images9\21371.png,labels9\21371.png
20149,images8\17684.png,labels8\17684.png
6822,images2\04357.png,labels2\04357.png
10293,images4\07828.png,labels4\07828.png
11117,images4\08652.png,labels4\08652.png
9151,images3\06686.png,labels3\06686.png
8466,images3\06001.png,labels3\06001.png
19955,images7\17490.png,labels7\17490.png
18183,images7\15718.png,labels7\15718.png
21985,images8\19520.png,labels8\19520.png
5844,images2\03379.png,labels2\03379.png
22698,images9\20233.png,labels9\20233.png
15197,images6\12732.png,labels6\12732.png
1596,images1\01597.png,labels1\01597.png
4169,images10\24170.png,labels10\24170.png
20493,images8\18028.png,labels8\18028.png
8006,images3\05541.png,labels3\05541.png
10281,images4\07816.png,labels4\07816.png
6982,images2\04517.png,labels2\04517.png
5906,images2\03441.png,labels2\03441.png
12096,images4\09631.png,labels4\09631.png
24692,images9\22227.png,labels9\22227.png
12579,images5\10114.png,labels5\10114.png
23570,images9\21105.png,labels9\21105.png
12195,images4\09730.png,labels4\09730.png
22474,images9\20009.png,labels9\20009.png
11951,images4\09486.png,labels4\09486.png
7558,images3\05093.png,labels3\05093.png
17096,images6\14631.png,labels6\14631.png
8682,images3\06217.png,labels3\06217.png
8878,images3\06413.png,labels3\06413.png
13188,images5\10723.png,labels5\10723.png
8209,images3\05744.png,labels3\05744.png
7274,images2\04809.png,labels2\04809.png
20935,images8\18470.png,labels8\18470.png
19021,images7\16556.png,labels7\16556.png
1653,images1\01654.png,labels1\01654.png
15072,images6\12607.png,labels6\12607.png
4859,images10\24860.png,labels10\24860.png
5842,images2\03377.png,labels2\03377.png
16750,images6\14285.png,labels6\14285.png
21034,images8\18569.png,labels8\18569.png
23024,images9\20559.png,labels9\20559.png
16468,images6\14003.png,labels6\14003.png
20565,images8\18100.png,labels8\18100.png
19089,images7\16624.png,labels7\16624.png
21691,images8\19226.png,labels8\19226.png
2162,images1\02163.png,labels1\02163.png
16761,images6\14296.png,labels6\14296.png
1131,images1\01132.png,labels1\01132.png
22083,images8\19618.png,labels8\19618.png
18301,images7\15836.png,labels7\15836.png
10638,images4\08173.png,labels4\08173.png
3991,images10\23992.png,labels10\23992.png
1671,images1\01672.png,labels1\01672.png
6746,images2\04281.png,labels2\04281.png
20719,images8\18254.png,labels8\18254.png
24083,images9\21618.png,labels9\21618.png
5250,images2\02785.png,labels2\02785.png
1170,images1\01171.png,labels1\01171.png
4437,images10\24438.png,labels10\24438.png
6475,images2\04010.png,labels2\04010.png
3855,images10\23856.png,labels10\23856.png
12763,images5\10298.png,labels5\10298.png
2781,images10\22782.png,labels10\22782.png
19609,images7\17144.png,labels7\17144.png
22179,images8\19714.png,labels8\19714.png
747,images1\00748.png,labels1\00748.png
907,images1\00908.png,labels1\00908.png
1963,images1\01964.png,labels1\01964.png
18664,images7\16199.png,labels7\16199.png
5208,images2\02743.png,labels2\02743.png
19735,images7\17270.png,labels7\17270.png
800,images1\00801.png,labels1\00801.png
7441,images2\04976.png,labels2\04976.png
2063,images1\02064.png,labels1\02064.png
16072,images6\13607.png,labels6\13607.png
20810,images8\18345.png,labels8\18345.png
17854,images7\15389.png,labels7\15389.png
4116,images10\24117.png,labels10\24117.png
2774,images10\22775.png,labels10\22775.png
11906,images4\09441.png,labels4\09441.png
10119,images4\07654.png,labels4\07654.png
18550,images7\16085.png,labels7\16085.png
3642,images10\23643.png,labels10\23643.png
23477,images9\21012.png,labels9\21012.png
20105,images8\17640.png,labels8\17640.png
22784,images9\20319.png,labels9\20319.png
11668,images4\09203.png,labels4\09203.png
17813,images7\15348.png,labels7\15348.png
1478,images1\01479.png,labels1\01479.png
14887,images5\12422.png,labels5\12422.png
10077,images4\07612.png,labels4\07612.png
7325,images2\04860.png,labels2\04860.png
6541,images2\04076.png,labels2\04076.png
14274,images5\11809.png,labels5\11809.png
9851,images3\07386.png,labels3\07386.png
21521,images8\19056.png,labels8\19056.png
3756,images10\23757.png,labels10\23757.png
1767,images1\01768.png,labels1\01768.png
396,images1\00397.png,labels1\00397.png
10265,images4\07800.png,labels4\07800.png
16382,images6\13917.png,labels6\13917.png
3835,images10\23836.png,labels10\23836.png
8973,images3\06508.png,labels3\06508.png
69,images1\00070.png,labels1\00070.png
1932,images1\01933.png,labels1\01933.png
17500,images7\15035.png,labels7\15035.png
22260,images8\19795.png,labels8\19795.png
24529,images9\22064.png,labels9\22064.png
4017,images10\24018.png,labels10\24018.png
524,images1\00525.png,labels1\00525.png
19931,images7\17466.png,labels7\17466.png
13768,images5\11303.png,labels5\11303.png
8783,images3\06318.png,labels3\06318.png
7848,images3\05383.png,labels3\05383.png
15359,images6\12894.png,labels6\12894.png
20486,images8\18021.png,labels8\18021.png
13843,images5\11378.png,labels5\11378.png
3220,images10\23221.png,labels10\23221.png
23853,images9\21388.png,labels9\21388.png
11096,images4\08631.png,labels4\08631.png
4172,images10\24173.png,labels10\24173.png
8098,images3\05633.png,labels3\05633.png
4632,images10\24633.png,labels10\24633.png
23435,images9\20970.png,labels9\20970.png
8615,images3\06150.png,labels3\06150.png
23838,images9\21373.png,labels9\21373.png
17872,images7\15407.png,labels7\15407.png
5029,images2\02564.png,labels2\02564.png
11569,images4\09104.png,labels4\09104.png
4504,images10\24505.png,labels10\24505.png
8129,images3\05664.png,labels3\05664.png
3047,images10\23048.png,labels10\23048.png
15925,images6\13460.png,labels6\13460.png
19293,images7\16828.png,labels7\16828.png
10557,images4\08092.png,labels4\08092.png
847,images1\00848.png,labels1\00848.png
20830,images8\18365.png,labels8\18365.png
13870,images5\11405.png,labels5\11405.png
20667,images8\18202.png,labels8\18202.png
13591,images5\11126.png,labels5\11126.png
9808,images3\07343.png,labels3\07343.png
3878,images10\23879.png,labels10\23879.png
23156,images9\20691.png,labels9\20691.png
1491,images1\01492.png,labels1\01492.png
16727,images6\14262.png,labels6\14262.png
17465,images6\15000.png,labels6\15000.png
3612,images10\23613.png,labels10\23613.png
23014,images9\20549.png,labels9\20549.png
22834,images9\20369.png,labels9\20369.png
4911,images10\24912.png,labels10\24912.png
21028,images8\18563.png,labels8\18563.png
21923,images8\19458.png,labels8\19458.png
16786,images6\14321.png,labels6\14321.png
24872,images9\22407.png,labels9\22407.png
2529,images10\22530.png,labels10\22530.png
20657,images8\18192.png,labels8\18192.png
10564,images4\08099.png,labels4\08099.png
8914,images3\06449.png,labels3\06449.png
12165,images4\09700.png,labels4\09700.png
6724,images2\04259.png,labels2\04259.png
1683,images1\01684.png,labels1\01684.png
8150,images3\05685.png,labels3\05685.png
8754,images3\06289.png,labels3\06289.png
250,images1\00251.png,labels1\00251.png
246,images1\00247.png,labels1\00247.png
10270,images4\07805.png,labels4\07805.png
7006,images2\04541.png,labels2\04541.png
3236,images10\23237.png,labels10\23237.png
11965,images4\09500.png,labels4\09500.png
13235,images5\10770.png,labels5\10770.png
7346,images2\04881.png,labels2\04881.png
8921,images3\06456.png,labels3\06456.png
21311,images8\18846.png,labels8\18846.png
22454,images8\19989.png,labels8\19989.png
13561,images5\11096.png,labels5\11096.png
6493,images2\04028.png,labels2\04028.png
23362,images9\20897.png,labels9\20897.png
15129,images6\12664.png,labels6\12664.png
19877,images7\17412.png,labels7\17412.png
7760,images3\05295.png,labels3\05295.png
18705,images7\16240.png,labels7\16240.png
9777,images3\07312.png,labels3\07312.png
18100,images7\15635.png,labels7\15635.png
5767,images2\03302.png,labels2\03302.png
9467,images3\07002.png,labels3\07002.png
13229,images5\10764.png,labels5\10764.png
23967,images9\21502.png,labels9\21502.png
24935,images9\22470.png,labels9\22470.png
17597,images7\15132.png,labels7\15132.png
11404,images4\08939.png,labels4\08939.png
5754,images2\03289.png,labels2\03289.png
545,images1\00546.png,labels1\00546.png
16391,images6\13926.png,labels6\13926.png
14613,images5\12148.png,labels5\12148.png
20897,images8\18432.png,labels8\18432.png
960,images1\00961.png,labels1\00961.png
14479,images5\12014.png,labels5\12014.png
9869,images3\07404.png,labels3\07404.png
5954,images2\03489.png,labels2\03489.png
1828,images1\01829.png,labels1\01829.png
24803,images9\22338.png,labels9\22338.png
18093,images7\15628.png,labels7\15628.png
2747,images10\22748.png,labels10\22748.png
12875,images5\10410.png,labels5\10410.png
18966,images7\16501.png,labels7\16501.png
12848,images5\10383.png,labels5\10383.png
10240,images4\07775.png,labels4\07775.png
12598,images5\10133.png,labels5\10133.png
15593,images6\13128.png,labels6\13128.png
10548,images4\08083.png,labels4\08083.png
9816,images3\07351.png,labels3\07351.png
9999,images4\07534.png,labels4\07534.png
17965,images7\15500.png,labels7\15500.png
2194,images1\02195.png,labels1\02195.png
7450,images2\04985.png,labels2\04985.png
12561,images5\10096.png,labels5\10096.png
14411,images5\11946.png,labels5\11946.png
6737,images2\04272.png,labels2\04272.png
24662,images9\22197.png,labels9\22197.png
500,images1\00501.png,labels1\00501.png
2621,images10\22622.png,labels10\22622.png
11651,images4\09186.png,labels4\09186.png
10074,images4\07609.png,labels4\07609.png
11372,images4\08907.png,labels4\08907.png
3026,images10\23027.png,labels10\23027.png
2121,images1\02122.png,labels1\02122.png
17508,images7\15043.png,labels7\15043.png
13082,images5\10617.png,labels5\10617.png
22897,images9\20432.png,labels9\20432.png
5391,images2\02926.png,labels2\02926.png
18084,images7\15619.png,labels7\15619.png
21185,images8\18720.png,labels8\18720.png
13612,images5\11147.png,labels5\11147.png
11270,images4\08805.png,labels4\08805.png
15518,images6\13053.png,labels6\13053.png
22607,images9\20142.png,labels9\20142.png
20659,images8\18194.png,labels8\18194.png
10605,images4\08140.png,labels4\08140.png
21656,images8\19191.png,labels8\19191.png
321,images1\00322.png,labels1\00322.png
20740,images8\18275.png,labels8\18275.png
1090,images1\01091.png,labels1\01091.png
20692,images8\18227.png,labels8\18227.png
11859,images4\09394.png,labels4\09394.png
11767,images4\09302.png,labels4\09302.png
18876,images7\16411.png,labels7\16411.png
17998,images7\15533.png,labels7\15533.png
16213,images6\13748.png,labels6\13748.png
6617,images2\04152.png,labels2\04152.png
10857,images4\08392.png,labels4\08392.png
19896,images7\17431.png,labels7\17431.png
5751,images2\03286.png,labels2\03286.png
1707,images1\01708.png,labels1\01708.png
18906,images7\16441.png,labels7\16441.png
18138,images7\15673.png,labels7\15673.png
12248,images4\09783.png,labels4\09783.png
13301,images5\10836.png,labels5\10836.png
957,images1\00958.png,labels1\00958.png
13255,images5\10790.png,labels5\10790.png
23122,images9\20657.png,labels9\20657.png
1083,images1\01084.png,labels1\01084.png
20212,images8\17747.png,labels8\17747.png
1547,images1\01548.png,labels1\01548.png
20049,images8\17584.png,labels8\17584.png
6919,images2\04454.png,labels2\04454.png
21402,images8\18937.png,labels8\18937.png
12395,images4\09930.png,labels4\09930.png
14445,images5\11980.png,labels5\11980.png
13758,images5\11293.png,labels5\11293.png
4978,images2\02513.png,labels2\02513.png
11511,images4\09046.png,labels4\09046.png
19950,images7\17485.png,labels7\17485.png
5196,images2\02731.png,labels2\02731.png
5464,images2\02999.png,labels2\02999.png
21100,images8\18635.png,labels8\18635.png
10026,images4\07561.png,labels4\07561.png
11814,images4\09349.png,labels4\09349.png
10648,images4\08183.png,labels4\08183.png
21589,images8\19124.png,labels8\19124.png
1614,images1\01615.png,labels1\01615.png
15569,images6\13104.png,labels6\13104.png
13295,images5\10830.png,labels5\10830.png
15858,images6\13393.png,labels6\13393.png
24279,images9\21814.png,labels9\21814.png
24727,images9\22262.png,labels9\22262.png
2102,images1\02103.png,labels1\02103.png
3849,images10\23850.png,labels10\23850.png
19522,images7\17057.png,labels7\17057.png
24197,images9\21732.png,labels9\21732.png
6704,images2\04239.png,labels2\04239.png
8867,images3\06402.png,labels3\06402.png
6321,images2\03856.png,labels2\03856.png
21625,images8\19160.png,labels8\19160.png
16170,images6\13705.png,labels6\13705.png
21070,images8\18605.png,labels8\18605.png
13326,images5\10861.png,labels5\10861.png
2071,images1\02072.png,labels1\02072.png
5443,images2\02978.png,labels2\02978.png
2520,images10\22521.png,labels10\22521.png
16512,images6\14047.png,labels6\14047.png
15104,images6\12639.png,labels6\12639.png
21000,images8\18535.png,labels8\18535.png
13012,images5\10547.png,labels5\10547.png
5777,images2\03312.png,labels2\03312.png
23374,images9\20909.png,labels9\20909.png
16430,images6\13965.png,labels6\13965.png
14817,images5\12352.png,labels5\12352.png
16677,images6\14212.png,labels6\14212.png
13480,images5\11015.png,labels5\11015.png
7496,images3\05031.png,labels3\05031.png
10213,images4\07748.png,labels4\07748.png
1957,images1\01958.png,labels1\01958.png
8936,images3\06471.png,labels3\06471.png
20327,images8\17862.png,labels8\17862.png
9935,images3\07470.png,labels3\07470.png
3935,images10\23936.png,labels10\23936.png
9415,images3\06950.png,labels3\06950.png
2229,images1\02230.png,labels1\02230.png
3281,images10\23282.png,labels10\23282.png
9272,images3\06807.png,labels3\06807.png
23864,images9\21399.png,labels9\21399.png
13584,images5\11119.png,labels5\11119.png
8999,images3\06534.png,labels3\06534.png
11475,images4\09010.png,labels4\09010.png
20042,images8\17577.png,labels8\17577.png
6203,images2\03738.png,labels2\03738.png
21405,images8\18940.png,labels8\18940.png
23595,images9\21130.png,labels9\21130.png
12139,images4\09674.png,labels4\09674.png
11445,images4\08980.png,labels4\08980.png
11541,images4\09076.png,labels4\09076.png
11528,images4\09063.png,labels4\09063.png
14904,images5\12439.png,labels5\12439.png
3453,images10\23454.png,labels10\23454.png
2013,images1\02014.png,labels1\02014.png
23683,images9\21218.png,labels9\21218.png
23654,images9\21189.png,labels9\21189.png
14973,images6\12508.png,labels6\12508.png
23002,images9\20537.png,labels9\20537.png
23338,images9\20873.png,labels9\20873.png
9901,images3\07436.png,labels3\07436.png
3997,images10\23998.png,labels10\23998.png
12583,images5\10118.png,labels5\10118.png
7943,images3\05478.png,labels3\05478.png
5860,images2\03395.png,labels2\03395.png
5517,images2\03052.png,labels2\03052.png
21665,images8\19200.png,labels8\19200.png
17640,images7\15175.png,labels7\15175.png
6252,images2\03787.png,labels2\03787.png
3838,images10\23839.png,labels10\23839.png
17008,images6\14543.png,labels6\14543.png
9661,images3\07196.png,labels3\07196.png
1584,images1\01585.png,labels1\01585.png
3893,images10\23894.png,labels10\23894.png
7526,images3\05061.png,labels3\05061.png
18479,images7\16014.png,labels7\16014.png
11087,images4\08622.png,labels4\08622.png
7954,images3\05489.png,labels3\05489.png
4360,images10\24361.png,labels10\24361.png
24021,images9\21556.png,labels9\21556.png
8427,images3\05962.png,labels3\05962.png
214,images1\00215.png,labels1\00215.png
2574,images10\22575.png,labels10\22575.png
631,images1\00632.png,labels1\00632.png
3128,images10\23129.png,labels10\23129.png
9003,images3\06538.png,labels3\06538.png
2462,images1\02463.png,labels1\02463.png
11953,images4\09488.png,labels4\09488.png
7039,images2\04574.png,labels2\04574.png
17214,images6\14749.png,labels6\14749.png
5260,images2\02795.png,labels2\02795.png
2905,images10\22906.png,labels10\22906.png
21194,images8\18729.png,labels8\18729.png
24361,images9\21896.png,labels9\21896.png
12500,images5\10035.png,labels5\10035.png
12897,images5\10432.png,labels5\10432.png
18443,images7\15978.png,labels7\15978.png
19280,images7\16815.png,labels7\16815.png
23799,images9\21334.png,labels9\21334.png
5570,images2\03105.png,labels2\03105.png
718,images1\00719.png,labels1\00719.png
7187,images2\04722.png,labels2\04722.png
1021,images1\01022.png,labels1\01022.png
11732,images4\09267.png,labels4\09267.png
4312,images10\24313.png,labels10\24313.png
14231,images5\11766.png,labels5\11766.png
14736,images5\12271.png,labels5\12271.png
22719,images9\20254.png,labels9\20254.png
2391,images1\02392.png,labels1\02392.png
10463,images4\07998.png,labels4\07998.png
6047,images2\03582.png,labels2\03582.png
11922,images4\09457.png,labels4\09457.png
9802,images3\07337.png,labels3\07337.png
2696,images10\22697.png,labels10\22697.png
3478,images10\23479.png,labels10\23479.png
2076,images1\02077.png,labels1\02077.png
10958,images4\08493.png,labels4\08493.png
19113,images7\16648.png,labels7\16648.png
7247,images2\04782.png,labels2\04782.png
23436,images9\20971.png,labels9\20971.png
2890,images10\22891.png,labels10\22891.png
18326,images7\15861.png,labels7\15861.png
1533,images1\01534.png,labels1\01534.png
7729,images3\05264.png,labels3\05264.png
16113,images6\13648.png,labels6\13648.png
815,images1\00816.png,labels1\00816.png
771,images1\00772.png,labels1\00772.png
16572,images6\14107.png,labels6\14107.png
12389,images4\09924.png,labels4\09924.png
6466,images2\04001.png,labels2\04001.png
11914,images4\09449.png,labels4\09449.png
16128,images6\13663.png,labels6\13663.png
23753,images9\21288.png,labels9\21288.png
610,images1\00611.png,labels1\00611.png
8344,images3\05879.png,labels3\05879.png
4409,images10\24410.png,labels10\24410.png
200,images1\00201.png,labels1\00201.png
3901,images10\23902.png,labels10\23902.png
10533,images4\08068.png,labels4\08068.png
21667,images8\19202.png,labels8\19202.png
21641,images8\19176.png,labels8\19176.png
19405,images7\16940.png,labels7\16940.png
6868,images2\04403.png,labels2\04403.png
15240,images6\12775.png,labels6\12775.png
7727,images3\05262.png,labels3\05262.png
13081,images5\10616.png,labels5\10616.png
11238,images4\08773.png,labels4\08773.png
9119,images3\06654.png,labels3\06654.png
15621,images6\13156.png,labels6\13156.png
20621,images8\18156.png,labels8\18156.png
5423,images2\02958.png,labels2\02958.png
7335,images2\04870.png,labels2\04870.png
15285,images6\12820.png,labels6\12820.png
21084,images8\18619.png,labels8\18619.png
22033,images8\19568.png,labels8\19568.png
22816,images9\20351.png,labels9\20351.png
10797,images4\08332.png,labels4\08332.png
19273,images7\16808.png,labels7\16808.png
15490,images6\13025.png,labels6\13025.png
23724,images9\21259.png,labels9\21259.png
12209,images4\09744.png,labels4\09744.png
9533,images3\07068.png,labels3\07068.png
17038,images6\14573.png,labels6\14573.png
17504,images7\15039.png,labels7\15039.png
9369,images3\06904.png,labels3\06904.png
20849,images8\18384.png,labels8\18384.png
8819,images3\06354.png,labels3\06354.png
15069,images6\12604.png,labels6\12604.png
9072,images3\06607.png,labels3\06607.png
13619,images5\11154.png,labels5\11154.png
6748,images2\04283.png,labels2\04283.png
12517,images5\10052.png,labels5\10052.png
1065,images1\01066.png,labels1\01066.png
24860,images9\22395.png,labels9\22395.png
20923,images8\18458.png,labels8\18458.png
19221,images7\16756.png,labels7\16756.png
3840,images10\23841.png,labels10\23841.png
5256,images2\02791.png,labels2\02791.png
7532,images3\05067.png,labels3\05067.png
12431,images4\09966.png,labels4\09966.png
10205,images4\07740.png,labels4\07740.png
15673,images6\13208.png,labels6\13208.png
23441,images9\20976.png,labels9\20976.png
24623,images9\22158.png,labels9\22158.png
20119,images8\17654.png,labels8\17654.png
17801,images7\15336.png,labels7\15336.png
8747,images3\06282.png,labels3\06282.png
13589,images5\11124.png,labels5\11124.png
18160,images7\15695.png,labels7\15695.png
3498,images10\23499.png,labels10\23499.png
15339,images6\12874.png,labels6\12874.png
10284,images4\07819.png,labels4\07819.png
10118,images4\07653.png,labels4\07653.png
21493,images8\19028.png,labels8\19028.png
17687,images7\15222.png,labels7\15222.png
14313,images5\11848.png,labels5\11848.png
5234,images2\02769.png,labels2\02769.png
15579,images6\13114.png,labels6\13114.png
18264,images7\15799.png,labels7\15799.png
20743,images8\18278.png,labels8\18278.png
22401,images8\19936.png,labels8\19936.png
21211,images8\18746.png,labels8\18746.png
21481,images8\19016.png,labels8\19016.png
9267,images3\06802.png,labels3\06802.png
23259,images9\20794.png,labels9\20794.png
16484,images6\14019.png,labels6\14019.png
20090,images8\17625.png,labels8\17625.png
6255,images2\03790.png,labels2\03790.png
24253,images9\21788.png,labels9\21788.png
1231,images1\01232.png,labels1\01232.png
337,images1\00338.png,labels1\00338.png
19430,images7\16965.png,labels7\16965.png
24881,images9\22416.png,labels9\22416.png
14628,images5\12163.png,labels5\12163.png
4768,images10\24769.png,labels10\24769.png
19410,images7\16945.png,labels7\16945.png
3787,images10\23788.png,labels10\23788.png
6134,images2\03669.png,labels2\03669.png
4502,images10\24503.png,labels10\24503.png
23511,images9\21046.png,labels9\21046.png
9121,images3\06656.png,labels3\06656.png
19112,images7\16647.png,labels7\16647.png
11586,images4\09121.png,labels4\09121.png
11942,images4\09477.png,labels4\09477.png
24281,images9\21816.png,labels9\21816.png
